ElapsedRealtimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,CarrierFrequencyHz
178061255,0,,,-9223372036854775808,,,,,0,9,0.0,815,275250879308474,41,20.5,18260.998046875,0.416233092546463,0,0.0,0.0,1.56109798E9,,,,0,16.200000762939453,5,-5.199999809265137,1.56109798E9
178061273,0,,,-9223372036854775808,,,,,0,12,0.0,47,275264925994416,28,24.5,18625.2109375,0.26298487186431885,0,0.0,0.0,1.57542003E9,,,,0,21.299999237060547,1,-5.199999809265137,1.57542003E9
178061273,0,,,-9223372036854775808,,,,,0,24,0.0,47,275264920162858,34,22.5,18055.845703125,0.3265306055545807,0,0.0,0.0,1.57542003E9,,,,0,15.800000190734863,1,-5.199999809265137,1.57542003E9
178061273,0,,,-9223372036854775808,,,,,0,25,0.0,47,275264921594428,53,18.299999237060547,18382.697265625,0.5653230547904968,0,0.0,0.0,1.57542003E9,,,,0,15.300000190734863,1,-5.199999809265137,1.57542003E9
178061273,0,,,-9223372036854775808,,,,,0,2,0.0,7215,275264913061379,24,26.5,18593.3671875,0.21633315086364746,0,0.0,0.0,1.57542003E9,,,,0,21.399999618530273,6,-5.199999809265137,1.57542003E9
178061273,0,,,-9223372036854775808,,,,,0,8,0.0,7215,275264912814951,30,23.700000762939453,17901.263671875,0.28596755862236023,0,0.0,0.0,1.57542003E9,,,,0,18.700000762939453,6,-5.199999809265137,1.57542003E9
178061273,0,,,-9223372036854775808,,,,,0,25,0.0,7215,275264909917175,31,23.299999237060547,18636.609375,0.2986055314540863,0,0.0,0.0,1.57542003E9,,,,0,18.0,6,-5.199999809265137,1.57542003E9
178061273,0,,,-9223372036854775808,,,,,0,10,0.0,815,275250876266171,32,23.100000381469727,18612.044921875,0.3052409589290619,0,0.0,0.0,1.56109798E9,,,,0,20.100000381469727,5,-5.199999809265137,1.56109798E9
178061274,0,,,-9223372036854775808,,,,,0,7,0.0,815,275250874062797,32,23.100000381469727,18601.03125,0.3052409589290619,0,0.0,0.0,1.56109798E9,,,,0,18.700000762939453,5,-5.199999809265137,1.56109798E9
178061274,0,,,-9223372036854775808,,,,,0,9,0.0,815,275250879308474,41,20.5,18260.998046875,0.416233092546463,0,0.0,0.0,1.56109798E9,,,,0,16.200000762939453,5,-5.199999809265137,1.56109798E9
178062219,0,,,-9223372036854775808,,,,,0,12,0.0,47,275265925993666,28,24.600000381469727,18624.767578125,0.2603082060813904,0,0.0,0.0,1.57542003E9,,,,0,21.299999237060547,1,-5.199999809265137,1.57542003E9
178062220,0,,,-9223372036854775808,,,,,0,24,0.0,47,275265920164040,34,22.399999618530273,18054.298828125,0.3302946388721466,0,0.0,0.0,1.57542003E9,,,,0,17.200000762939453,1,-5.199999809265137,1.57542003E9
178062220,0,,,-9223372036854775808,,,,,0,25,0.0,47,275265921594518,53,18.200000762939453,18381.599609375,0.5739210844039917,0,0.0,0.0,1.57542003E9,,,,0,17.0,1,-5.199999809265137,1.57542003E9
178062220,0,,,-9223372036854775808,,,,,0,2,0.0,7215,275265913060739,24,26.700000762939453,18593.5625,0.21236379444599152,0,0.0,0.0,1.57542003E9,,,,0,21.799999237060547,6,-5.199999809265137,1.57542003E9
178062221,0,,,-9223372036854775808,,,,,0,8,0.0,7215,275265912816648,30,23.899999618530273,17901.935546875,0.2799473702907562,0,0.0,0.0,1.57542003E9,,,,0,18.0,6,-5.199999809265137,1.57542003E9
178062222,0,,,-9223372036854775808,,,,,0,25,0.0,7215,275265909916436,31,23.399999618530273,18636.99609375,0.29536861181259155,0,0.0,0.0,1.57542003E9,,,,0,19.299999237060547,6,-5.199999809265137,1.57542003E9
178062223,0,,,-9223372036854775808,,,,,0,10,0.0,815,275251876265471,31,23.299999237060547,18611.728515625,0.2986055314540863,0,0.0,0.0,1.56109798E9,,,,0,20.5,5,-5.199999809265137,1.56109798E9
178062223,0,,,-9223372036854775808,,,,,0,7,0.0,815,275251874062153,32,23.100000381469727,18601.931640625,0.3052409589290619,0,0.0,0.0,1.56109798E9,,,,0,18.799999237060547,5,-5.199999809265137,1.56109798E9
178062223,0,,,-9223372036854775808,,,,,0,9,0.0,815,275251879308989,41,20.5,18261.1328125,0.416233092546463,0,0.0,0.0,1.56109798E9,,,,0,14.899999618530273,5,-5.199999809265137,1.56109798E9
178062223,0,,,-9223372036854775808,,,,,0,22,0.0,815,275251923576448,48,19.0,18393.62109375,0.5102040767669678,0,0.0,0.0,1.56109798E9,,,,0,15.399999618530273,5,-5.199999809265137,1.56109798E9
178062258,0,,,-9223372036854775808,,,,,0,12,0.0,47,275265925993666,28,24.600000381469727,18624.767578125,0.2603082060813904,0,0.0,0.0,1.57542003E9,,,,0,21.299999237060547,1,-5.199999809265137,1.57542003E9
178062258,0,,,-9223372036854775808,,,,,0,24,0.0,47,275265920164040,34,22.399999618530273,18054.298828125,0.3302946388721466,0,0.0,0.0,1.57542003E9,,,,0,17.200000762939453,1,-5.199999809265137,1.57542003E9
178062258,0,,,-9223372036854775808,,,,,0,25,0.0,47,275265921594518,53,18.200000762939453,18381.599609375,0.5739210844039917,0,0.0,0.0,1.57542003E9,,,,0,17.0,1,-5.199999809265137,1.57542003E9
178062258,0,,,-9223372036854775808,,,,,0,2,0.0,7215,275265913060739,24,26.700000762939453,18593.5625,0.21236379444599152,0,0.0,0.0,1.57542003E9,,,,0,21.799999237060547,6,-5.199999809265137,1.57542003E9
178062259,0,,,-9223372036854775808,,,,,0,8,0.0,7215,275265912816648,30,23.899999618530273,17901.935546875,0.2799473702907562,0,0.0,0.0,1.57542003E9,,,,0,18.0,6,-5.199999809265137,1.57542003E9
178062259,0,,,-9223372036854775808,,,,,0,25,0.0,7215,275265909916436,31,23.399999618530273,18636.99609375,0.29536861181259155,0,0.0,0.0,1.57542003E9,,,,0,19.299999237060547,6,-5.199999809265137,1.57542003E9
178062259,0,,,-9223372036854775808,,,,,0,10,0.0,815,275251876265471,31,23.299999237060547,18611.728515625,0.2986055314540863,0,0.0,0.0,1.56109798E9,,,,0,20.5,5,-5.199999809265137,1.56109798E9
178062259,0,,,-9223372036854775808,,,,,0,7,0.0,815,275251874062153,32,23.0,18601.931640625,0.3086419701576233,0,0.0,0.0,1.56109798E9,,,,0,18.799999237060547,5,-5.199999809265137,1.56109798E9
178062260,0,,,-9223372036854775808,,,,,0,9,0.0,815,275251879308989,41,20.5,18261.1328125,0.416233092546463,0,0.0,0.0,1.56109798E9,,,,0,14.899999618530273,5,-5.199999809265137,1.56109798E9
178062260,0,,,-9223372036854775808,,,,,0,22,0.0,815,275251923576448,48,19.0,18393.62109375,0.5102040767669678,0,0.0,0.0,1.56109798E9,,,,0,15.399999618530273,5,-5.199999809265137,1.56109798E9
178063234,19211363453,18,0.0,-1284265647788636672,0.0,10.137636184692383,61390.31640625,0.0,0,12,0.0,47,275266925992869,28,24.700000762939453,18625.29296875,0.25767216086387634,0,0.0,0.0,1.57542003E9,,,,0,22.399999618530273,1,-5.199999809265137,1.57542003E9
178063235,19211363453,18,0.0,-1284265647788636672,0.0,10.137636184692383,61390.31640625,0.0,0,24,0.0,47,275266920165122,34,22.399999618530273,18053.77734375,0.3302946388721466,0,0.0,0.0,1.57542003E9,,,,0,16.0,1,-5.199999809265137,1.57542003E9
178063235,19211363453,18,0.0,-1284265647788636672,0.0,10.137636184692383,61390.31640625,0.0,0,25,0.0,47,275266921594572,53,18.200000762939453,18381.43359375,0.5739210844039917,0,0.0,0.0,1.57542003E9,,,,0,11.300000190734863,1,-5.199999809265137,1.57542003E9
178063236,19211363453,18,0.0,-1284265647788636672,0.0,10.137636184692383,61390.31640625,0.0,0,2,0.0,7215,275266913060096,24,26.799999237060547,18593.591796875,0.21042001247406006,0,0.0,0.0,1.57542003E9,,,,0,21.700000762939453,6,-5.199999809265137,1.57542003E9
178063236,19211363453,18,0.0,-1284265647788636672,0.0,10.137636184692383,61390.31640625,0.0,0,8,0.0,7215,275266912818278,30,23.899999618530273,17902.92578125,0.2799473702907562,0,0.0,0.0,1.57542003E9,,,,0,17.399999618530273,6,-5.199999809265137,1.57542003E9
178063236,19211363453,18,0.0,-1284265647788636672,0.0,10.137636184692383,61390.31640625,0.0,0,10,0.0,815,275252876264711,31,23.5,18611.400390625,0.29218408465385437,0,0.0,0.0,1.56109798E9,,,,0,19.399999618530273,5,-5.199999809265137,1.56109798E9
178063237,19211363453,18,0.0,-1284265647788636672,0.0,10.137636184692383,61390.31640625,0.0,0,25,0.0,7215,275266909915575,31,23.5,18637.345703125,0.29218408465385437,0,0.0,0.0,1.57542003E9,,,,0,16.899999618530273,6,-5.199999809265137,1.57542003E9
178063237,19211363453,18,0.0,-1284265647788636672,0.0,10.137636184692383,61390.31640625,0.0,0,7,0.0,815,275252874061421,32,23.0,18602.109375,0.3086419701576233,0,0.0,0.0,1.56109798E9,,,,0,18.299999237060547,5,-5.199999809265137,1.56109798E9
178063238,19211363453,18,0.0,-1284265647788636672,0.0,10.137636184692383,61390.31640625,0.0,0,9,0.0,815,275252879309410,41,20.600000381469727,18259.724609375,0.4109138548374176,0,0.0,0.0,1.56109798E9,,,,0,15.199999809265137,5,-5.199999809265137,1.56109798E9
178063239,19211363453,18,0.0,-1284265647788636672,0.0,10.137636184692383,61390.31640625,0.0,0,22,0.0,815,275252923576462,43,20.0,18393.564453125,0.4444444477558136,0,0.0,0.0,1.56109798E9,,,,0,17.399999618530273,5,-5.199999809265137,1.56109798E9
178063275,19211363453,18,0.0,-1284265647788636672,0.0,10.137636184692383,61390.31640625,0.0,0,12,0.0,47,275266925992869,28,24.700000762939453,18625.29296875,0.25767216086387634,0,0.0,0.0,1.57542003E9,,,,0,22.399999618530273,1,-5.199999809265137,1.57542003E9
178063276,19211363453,18,0.0,-1284265647788636672,0.0,10.137636184692383,61390.31640625,0.0,0,24,0.0,47,275266920165122,34,22.399999618530273,18053.77734375,0.3302946388721466,0,0.0,0.0,1.57542003E9,,,,0,16.0,1,-5.199999809265137,1.57542003E9
178063277,19211363453,18,0.0,-1284265647788636672,0.0,10.137636184692383,61390.31640625,0.0,0,25,0.0,47,275266921594572,53,18.200000762939453,18381.43359375,0.5739210844039917,0,0.0,0.0,1.57542003E9,,,,0,11.300000190734863,1,-5.199999809265137,1.57542003E9
178063277,19211363453,18,0.0,-1284265647788636672,0.0,10.137636184692383,61390.31640625,0.0,0,2,0.0,7215,275266913060096,24,26.799999237060547,18593.591796875,0.21042001247406006,0,0.0,0.0,1.57542003E9,,,,0,21.700000762939453,6,-5.199999809265137,1.57542003E9
178063277,19211363453,18,0.0,-1284265647788636672,0.0,10.137636184692383,61390.31640625,0.0,0,8,0.0,7215,275266912818278,30,23.899999618530273,17902.92578125,0.2799473702907562,0,0.0,0.0,1.57542003E9,,,,0,17.399999618530273,6,-5.199999809265137,1.57542003E9
178063278,19211363453,18,0.0,-1284265647788636672,0.0,10.137636184692383,61390.31640625,0.0,0,10,0.0,815,275252876264711,31,23.5,18611.400390625,0.29218408465385437,0,0.0,0.0,1.56109798E9,,,,0,19.399999618530273,5,-5.199999809265137,1.56109798E9
178063278,19211363453,18,0.0,-1284265647788636672,0.0,10.137636184692383,61390.31640625,0.0,0,25,0.0,7215,275266909915575,31,23.5,18637.345703125,0.29218408465385437,0,0.0,0.0,1.57542003E9,,,,0,16.899999618530273,6,-5.199999809265137,1.57542003E9
178063278,19211363453,18,0.0,-1284265647788636672,0.0,10.137636184692383,61390.31640625,0.0,0,7,0.0,815,275252874061421,32,23.0,18602.109375,0.3086419701576233,0,0.0,0.0,1.56109798E9,,,,0,18.299999237060547,5,-5.199999809265137,1.56109798E9
178063279,19211363453,18,0.0,-1284265647788636672,0.0,10.137636184692383,61390.31640625,0.0,0,9,0.0,815,275252879309410,41,20.600000381469727,18259.724609375,0.4109138548374176,0,0.0,0.0,1.56109798E9,,,,0,15.199999809265137,5,-5.199999809265137,1.56109798E9
178063279,19211363453,18,0.0,-1284265647788636672,0.0,10.137636184692383,61390.31640625,0.0,0,22,0.0,815,275252923576462,43,20.0,18393.564453125,0.4444444477558136,0,0.0,0.0,1.56109798E9,,,,0,17.399999618530273,5,-5.199999809265137,1.56109798E9
178064219,0,,,-9223372036854775808,,,,,0,12,0.0,47,275267925992167,27,24.899999618530273,18626.1328125,0.252518892288208,0,0.0,0.0,1.57542003E9,,,,0,20.799999237060547,1,-5.199999809265137,1.57542003E9
178064219,0,,,-9223372036854775808,,,,,0,24,0.0,47,275267920166292,34,22.399999618530273,18053.84765625,0.3302946388721466,0,0.0,0.0,1.57542003E9,,,,0,17.600000381469727,1,-5.199999809265137,1.57542003E9
178064219,0,,,-9223372036854775808,,,,,0,25,0.0,47,275267921594649,54,18.100000381469727,18381.86328125,0.5827165842056274,0,0.0,0.0,1.57542003E9,,,,0,14.199999809265137,1,-5.199999809265137,1.57542003E9
178064220,0,,,-9223372036854775808,,,,,0,2,0.0,7215,275267913059471,23,27.0,18593.208984375,0.20661157369613647,0,0.0,0.0,1.57542003E9,,,,0,21.299999237060547,6,-5.199999809265137,1.57542003E9
178064220,0,,,-9223372036854775808,,,,,0,8,0.0,7215,275267912819939,29,24.100000381469727,17902.794921875,0.27411526441574097,0,0.0,0.0,1.57542003E9,,,,0,18.200000762939453,6,-5.199999809265137,1.57542003E9
178064220,0,,,-9223372036854775808,,,,,0,25,0.0,7215,275267909914792,31,23.600000381469727,18637.09765625,0.28905072808265686,0,0.0,0.0,1.57542003E9,,,,0,18.799999237060547,6,-5.199999809265137,1.57542003E9
